127.0.0.1 - - [05/Apr/2019:19:01:08 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:01:09 +0530] "GET /bank-app-web/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:01:09 +0530] "GET /bank-app-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:01:10 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:01:13 +0530] "GET /bank-app-web/Fund%20Transfer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:01:43 +0530] "GET /bank-app-web/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:01:44 +0530] "GET /bank-app-web/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:01:44 +0530] "GET /bank-app-web/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:01:44 +0530] "GET /bank-app-web/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:01:47 +0530] "GET /bank-app-web/Check%20Bal.html HTTP/1.1" 200 3116
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:01:56 +0530] "GET /bank-app-web/Display%20Details.do HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:02:26 +0530] "GET /bank-app-web/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:02:26 +0530] "GET /bank-app-web/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:02:26 +0530] "GET /bank-app-web/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:02:26 +0530] "GET /bank-app-web/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:02:27 +0530] "GET /bank-app-web/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:02:28 +0530] "GET /bank-app-web/Check%20Bal.html HTTP/1.1" 200 3117
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:02:30 +0530] "GET /bank-app-web/Display%20Details.jsp HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:03:22 +0530] "GET /bank-app-web/Display%20Details.jsp HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:03:26 +0530] "GET /bank-app-web/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:03:27 +0530] "GET /bank-app-web/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:03:27 +0530] "GET /bank-app-web/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:03:27 +0530] "GET /bank-app-web/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:03:27 +0530] "GET /bank-app-web/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:03:29 +0530] "GET /bank-app-web/Display%20Details.do HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:03:33 +0530] "GET /bank-app-web/Display%20Details.do HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:03:58 +0530] "GET /bank-app-web/Display%20Details.do HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:04:31 +0530] "GET /bank-app-web/ HTTP/1.1" 200 3014
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:04:31 +0530] "GET /bank-app-web/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:04:31 +0530] "GET /bank-app-web/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:04:31 +0530] "GET /bank-app-web/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:04:31 +0530] "GET /bank-app-web/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:04:32 +0530] "GET /bank-app-web/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:04:33 +0530] "GET /bank-app-web/Display%20Details.jsp HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:06:42 +0530] "GET /bank-app-web/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:19:06:44 +0530] "GET /bank-app-web/Display%20Details.jsp HTTP/1.1" 200 2884
